-1.28141,-0.210413,-17.8243,27.5168,-9.70239,1.28141,-1.28141,-0.210413,-17.7611,27.5168,-9.76551,1.28141,12.2302,18.1163,-41.6366,31.8589,43.1745,1.42413,-25.2544,13.2823,33.2461,-49.7553,52.7166,65.5205,11.6429,-14.024,0.15781,-0.756491
-1.28135,-0.210201,-17.8243,27.5169,-9.70254,1.28135,-1.28135,-0.210201,-17.7612,27.5169,-9.7656,1.28135,12.2296,18.1169,-41.6351,31.8591,43.1745,1.42407,-25.2539,13.2806,33.2457,-49.7543,52.7164,65.5187,11.6425,-14.0241,0.15765,-0.756444
-1.28129,-0.209989,-17.8242,27.5169,-9.70267,1.28129,-1.28129,-0.209989,-17.7612,27.5169,-9.76566,1.28129,12.2289,18.1175,-41.6336,31.8592,43.1746,1.42399,-25.2534,13.2789,33.2454,-49.7534,52.7162,65.517,11.642,-14.0241,0.157492,-0.756397
-1.28123,-0.209774,-17.824,27.5169,-9.70279,1.28123,-1.28123,-0.209774,-17.7611,27.5169,-9.76572,1.28123,12.2283,18.1181,-41.632,31.8594,43.1746,1.42391,-25.2528,13.2772,33.2451,-49.7524,52.716,65.5153,11.6415,-14.0242,0.157331,-0.756349
-1.28116,-0.209558,-17.8239,27.5169,-9.70292,1.28116,-1.28116,-0.209558,-17.7611,27.5169,-9.76579,1.28116,12.2276,18.1187,-41.6304,31.8596,43.1747,1.42382,-25.2523,13.2754,33.2447,-49.7514,52.7158,65.5136,11.641,-14.0242,0.157168,-0.756301
-1.2811,-0.209339,-17.8238,27.5169,-9.70305,1.2811,-1.2811,-0.209339,-17.761,27.5169,-9.76585,1.2811,12.227,18.1193,-41.6288,31.8597,43.1747,1.42372,-25.2518,13.2737,33.2444,-49.7505,52.7156,65.512,11.6405,-14.0243,0.157004,-0.756252
-1.28103,-0.209118,-17.8237,27.5169,-9.70318,1.28103,-1.28103,-0.209118,-17.7609,27.5169,-9.76592,1.28103,12.2263,18.12,-41.6272,31.8599,43.1747,1.42361,-25.2513,13.2719,33.244,-49.7496,52.7154,65.5103,11.6399,-14.0244,0.156838,-0.756202
-1.28097,-0.208895,-17.8235,27.5169,-9.70331,1.28097,-1.28097,-0.208895,-17.7609,27.5169,-9.76598,1.28097,12.2256,18.1207,-41.6255,31.86,43.1747,1.4235,-25.2508,13.2701,33.2437,-49.7487,52.7152,65.5087,11.6394,-14.0245,0.156671,-0.756152
-1.2809,-0.20867,-17.8234,27.5169,-9.70345,1.2809,-1.2809,-0.20867,-17.7608,27.5169,-9.76605,1.2809,12.2249,18.1213,-41.6238,31.8601,43.1747,1.42339,-25.2503,13.2683,33.2434,-49.7478,52.7151,65.507,11.6389,-14.0246,0.156502,-0.756102
-1.28083,-0.208443,-17.8233,27.5169,-9.70358,1.28083,-1.28083,-0.208443,-17.7607,27.5169,-9.76612,1.28083,12.2242,18.122,-41.622,31.8603,43.1747,1.42328,-25.2498,13.2664,33.243,-49.7469,52.7149,65.5054,11.6383,-14.0247,0.156332,-0.756051
-1.28076,-0.208217,-17.8233,27.5171,-9.70376,1.28076,-1.28076,-0.208217,-17.7609,27.5171,-9.76622,1.28076,12.2235,18.1227,-41.6203,31.8604,43.1747,1.42318,-25.2493,13.2646,33.2427,-49.746,52.7147,65.5038,11.6378,-14.0248,0.156163,-0.756
-1.2807,-0.207991,-17.8232,27.5171,-9.70389,1.2807,-1.2807,-0.207991,-17.7608,27.5171,-9.76629,1.2807,12.2228,18.1234,-41.6185,31.8606,43.1746,1.42307,-25.2488,13.2628,33.2424,-49.7451,52.7145,65.5023,11.6372,-14.025,0.155993,-0.755949
-1.28063,-0.207763,-17.8231,27.5171,-9.70403,1.28063,-1.28063,-0.207763,-17.7607,27.5171,-9.76636,1.28063,12.2221,18.1241,-41.6167,31.8607,43.1745,1.42296,-25.2483,13.2609,33.242,-49.7443,52.7144,65.5008,11.6367,-14.0251,0.155823,-0.755898
-1.28056,-0.207534,-17.8229,27.5171,-9.70417,1.28056,-1.28056,-0.207534,-17.7607,27.5171,-9.76643,1.28056,12.2214,18.1248,-41.6149,31.8609,43.1744,1.42287,-25.2478,13.259,33.2417,-49.7435,52.7142,65.4992,11.6362,-14.0253,0.15565,-0.755846
-1.28049,-0.207302,-17.8228,27.5171,-9.70431,1.28049,-1.28049,-0.207302,-17.7606,27.5171,-9.7665,1.28049,12.2206,18.1255,-41.6131,31.861,43.1743,1.42278,-25.2473,13.2571,33.2414,-49.7426,52.714,65.4977,11.6356,-14.0254,0.155476,-0.755793
-1.28042,-0.207066,-17.8226,27.5171,-9.70445,1.28042,-1.28042,-0.207066,-17.7605,27.5171,-9.76657,1.28042,12.2198,18.1263,-41.6112,31.8611,43.1741,1.42272,-25.2468,13.2552,33.2411,-49.7418,52.7139,65.4962,11.635,-14.0256,0.1553,-0.75574
-1.28035,-0.206827,-17.8225,27.5171,-9.7046,1.28035,-1.28035,-0.206827,-17.7605,27.5171,-9.76665,1.28035,12.2191,18.127,-41.6092,31.8612,43.1738,1.42268,-25.2464,13.2532,33.2407,-49.741,52.7137,65.4948,11.6345,-14.0258,0.15512,-0.755685
-1.28027,-0.206583,-17.8223,27.5171,-9.70475,1.28027,-1.28027,-0.206583,-17.7604,27.5171,-9.76672,1.28027,12.2183,18.1278,-41.6073,31.8614,43.1734,1.42266,-25.2459,13.2512,33.2404,-49.7402,52.7136,65.4933,11.6339,-14.026,0.154938,-0.75563
-1.2802,-0.206339,-17.8222,27.5171,-9.7049,1.2802,-1.2802,-0.206339,-17.7603,27.5171,-9.7668,1.2802,12.2175,18.1285,-41.6053,31.8615,43.173,1.42267,-25.2454,13.2492,33.24,-49.7393,52.7134,65.4918,11.6333,-14.0262,0.154754,-0.755575
-1.28013,-0.206091,-17.822,27.5171,-9.70505,1.28013,-1.28013,-0.206091,-17.7602,27.5171,-9.76688,1.28013,12.2166,18.1293,-41.6033,31.8616,43.1725,1.4227,-25.2449,13.2471,33.2397,-49.7385,52.7133,65.4903,11.6328,-14.0264,0.154568,-0.755519
-1.28005,-0.205837,-17.8219,27.5171,-9.70521,1.28005,-1.28005,-0.205837,-17.7601,27.5171,-9.76696,1.28005,12.2158,18.1301,-41.6012,31.8617,43.1719,1.42278,-25.2445,13.245,33.2394,-49.7376,52.7131,65.4889,11.6322,-14.0266,0.154378,-0.755462
-1.27997,-0.205579,-17.8217,27.5171,-9.70537,1.27997,-1.27997,-0.205579,-17.7601,27.5171,-9.76704,1.27997,12.2149,18.1309,-41.5991,31.8617,43.1712,1.42288,-25.244,13.2428,33.239,-49.7368,52.7129,65.4874,11.6316,-14.0268,0.154184,-0.755403
